Ticker,Date,MarketClose,Volume,MarketOpen,High,Low
SZN,07-Jul-23,17.89,21214455,17.60,18.27,17.46
SZN,06-Jul-23,17.65,33176506,16.77,17.95,16.62
SZN,05-Jul-23,17.46,16393593,18.00,18.10,17.46
SZN,04-Jul-23,18.37,48552587,17.29,18.54,17.13
SZN,03-Jul-23,16.86,44367425,15.70,16.86,15.70
SZN,30-Jun-23,15.33,21827468,15.01,15.60,14.97
SZN,28-Jun-23,14.76,10631578,14.19,15.00,14.19
SZN,27-Jun-23,14.08,8722794,14.05,14.41,14.02
SZN,26-Jun-23,14.03,10628200,13.87,14.25,13.66
SZN,23-Jun-23,13.87,11076631,13.56,14.14,13.28
SZN,22-Jun-23,13.60,12750648,14.06,14.11,13.30
SZN,21-Jun-23,13.99,11076244,14.28,14.55,13.86
SZN,20-Jun-23,14.28,11298632,14.57,14.66,13.69
SZN,19-Jun-23,14.53,15917706,14.90,15.05,14.25
SZN,16-Jun-23,14.76,18906930,14.65,15.15,14.58
SZN,15-Jun-23,14.46,16961426,14.30,14.60,14.02
SZN,14-Jun-23,14.41,27024903,15.22,15.35,14.15
SZN,13-Jun-23,15.11,16713439,15.42,15.76,14.79
SZN,12-Jun-23,15.29,41669545,14.16,15.40,14.13
SZN,09-Jun-23,14.01,21667661,13.48,14.18,13.32
SZN,08-Jun-23,13.38,20745394,14.30,14.30,13.21
SZN,07-Jun-23,14.40,64990870,12.57,14.59,12.51
SZN,06-Jun-23,12.20,39664141,11.55,12.38,11.37
SZN,05-Jun-23,11.42,14755179,11.05,11.55,11.02
SZN,02-Jun-23,10.99,12658788,11.24,11.39,10.86
SZN,01-Jun-23,11.15,18092158,11.82,12.00,11.05
SZN,31-May-23,11.74,51591268,10.92,11.80,10.64
SZN,30-May-23,10.67,21485865,10.34,10.76,10.22
SZN,29-May-23,10.35,13022698,10.18,10.42,10.11
SZN,26-May-23,9.99,8723883,9.78,10.12,9.46
SZN,25-May-23,9.79,14552423,10.24,10.27,9.71
SZN,24-May-23,10.05,26522896,9.56,10.20,9.54
SZN,23-May-23,9.46,13859736,9.50,9.63,9.15
SZN,22-May-23,9.29,26467024,8.58,9.56,8.52
SZN,19-May-23,8.50,4931755,8.58,8.65,8.37
SZN,18-May-23,8.55,7464762,8.82,8.97,8.42
SZN,17-May-23,8.64,15263406,8.23,8.80,8.21
SZN,16-May-23,8.22,3085193,8.27,8.32,8.19
SZN,15-May-23,8.24,5624707,8.27,8.35,8.20
SZN,12-May-23,8.24,2829250,8.36,8.40,8.21
SZN,11-May-23,8.33,4323252,8.38,8.47,8.28
SZN,10-May-23,8.38,3844960,8.40,8.45,8.22
SZN,09-May-23,8.36,6672406,8.62,8.76,8.15
SZN,08-May-23,8.56,4409338,8.75,8.76,8.47
SZN,05-May-23,8.63,9464507,8.65,8.88,8.51
SZN,04-May-23,8.57,19332293,8.23,8.69,8.20
SZN,03-May-23,8.11,3780446,8.12,8.27,8.04
SZN,02-May-23,8.08,8161353,8.37,8.38,7.94
SZN,28-Apr-23,8.33,6587684,8.26,8.43,8.18
SZN,27-Apr-23,8.21,4613170,8.25,8.25,8.12
SZN,26-Apr-23,8.19,11512126,8.29,8.72,8.12
SZN,25-Apr-23,8.19,13054579,7.97,8.29,7.93
SZN,24-Apr-23,7.97,4689475,8.01,8.08,7.91
SZN,21-Apr-23,7.97,2874122,7.99,8.04,7.96
SZN,20-Apr-23,7.97,4393869,8.06,8.07,7.95
SZN,19-Apr-23,7.98,5785953,8.00,8.11,7.93
SZN,18-Apr-23,8.03,7010567,8.13,8.17,7.95
SZN,17-Apr-23,8.15,7104329,8.02,8.18,7.99
SZN,13-Apr-23,8.09,5875952,8.12,8.23,8.03
SZN,12-Apr-23,8.11,6809273,8.20,8.25,8.05
SZN,11-Apr-23,8.17,5623036,8.05,8.34,8.01
SZN,10-Apr-23,8.06,3555205,8.17,8.24,8.01
SZN,06-Apr-23,8.17,11920986,8.12,8.34,8.07
SZN,05-Apr-23,8.12,3055535,8.11,8.27,8.02
SZN,03-Apr-23,8.09,4808522,7.92,8.16,7.90
SZN,31-Mar-23,7.90,7253763,8.07,8.25,7.85
SZN,29-Mar-23,7.95,13787205,7.06,8.10,7.06
SZN,28-Mar-23,7.08,9617699,7.27,7.33,6.96
SZN,27-Mar-23,7.23,8225129,7.58,7.60,7.13
SZN,24-Mar-23,7.56,5803784,7.75,7.79,7.50
SZN,23-Mar-23,7.75,3565863,7.82,7.88,7.71
SZN,22-Mar-23,7.82,3886470,7.76,7.93,7.76
SZN,21-Mar-23,7.80,5605015,7.81,7.91,7.76
SZN,20-Mar-23,7.74,4630580,7.99,8.00,7.71
SZN,17-Mar-23,7.99,4121122,7.96,8.13,7.90
SZN,16-Mar-23,7.93,4392598,7.96,8.00,7.72
SZN,15-Mar-23,7.93,7797219,7.80,8.16,7.78
